category,field_label,db_column_name,html_input_type,db_field_type
System,Application Record ID,mtif_record_id,text (readonly),INTEGER AUTO_INCREMENT
System,Application Status,application_status,text (programmatic),VARCHAR(50)
Applicant / Jurisdiction,Jurisdiction name,jurisdiction_name,select,VARCHAR(100)
Applicant / Jurisdiction,Jurisdiction mailing address,jurisdiction_mailing_address,text,VARCHAR(255)
Applicant / Jurisdiction,Chief Executive Officer name,ceo_name,text,VARCHAR(150)
Applicant / Jurisdiction,Chief Executive Officer title,ceo_title,text,VARCHAR(150)
Applicant / Jurisdiction,Chief Fiscal Officer name,cfo_name,text,VARCHAR(150)
Applicant / Jurisdiction,Chief Fiscal Officer title,cfo_title,text,VARCHAR(150)
Applicant / Jurisdiction,Project contact person name,project_contact_name,text,VARCHAR(150)
Applicant / Jurisdiction,Project contact phone,project_contact_phone,tel,VARCHAR(20)
Applicant / Jurisdiction,Project contact email,project_contact_email,email,VARCHAR(255)
Applicant / Jurisdiction,Primary applicant email for notices,primary_applicant_email,email,VARCHAR(255)
Applicant / Jurisdiction,Applicant role,applicant_role,select,VARCHAR(50)
Project Header,Project name,project_name,text,VARCHAR(255)
Project Header,Project description (short narrative),project_description,textarea,TEXT
Project Header,Project ID (SORTA MTIF project ID),project_id,text,VARCHAR(50)
Project Header,Year project funded,year_project_funded,number,INTEGER
Project Header,Date of project award,date_of_project_award,date,DATE
Project Header,Program year / round,program_year_round,text,VARCHAR(50)
Project Header,Project type/category,project_type_category,select,VARCHAR(100)
Project Header,Large vs small project category,project_size_category,select,VARCHAR(50)
Project Header,Emergency project indicator,emergency_project_flag,select (Yes/No),VARCHAR(3)
Location / Transit,Project street name(s),project_street_names,text,VARCHAR(255)
Location / Transit,Municipality/township/county,municipality_township_county,text,VARCHAR(150)
Location / Transit,Project limits description,project_limits_description,textarea,TEXT
Location / Transit,Project vicinity map file,vicinity_map_file,file,VARCHAR(500)
Location / Transit,Project latitude/longitude,project_lat_long,text,VARCHAR(50)
Location / Transit,GIS shapefile upload,gis_shapefile,file,VARCHAR(500)
Location / Transit,Distance to nearest fixed-route transit (miles),distance_to_transit_miles,number,DECIMAL(8,2)
Location / Transit,Within 3/4 mile of fixed-route transit,within_three_quarter_mile_transit,select (Yes/No),VARCHAR(3)
Location / Transit,Weekday fixed-route trips using project corridor (count),weekday_transit_trip_count,number,INTEGER
Location / Transit,On BRT corridor,on_brt_corridor,select (Yes/No),VARCHAR(3)
Budget / Funding,Local funds budgeted (dollars),local_funds_budgeted,number,DECIMAL(15,2)
Budget / Funding,SORTA MTIF funds awarded (dollars),mtif_funds_awarded,number,DECIMAL(15,2)
Budget / Funding,Other funds budgeted (dollars),other_funds_budgeted,number,DECIMAL(15,2)
Budget / Funding,Total project budget (dollars),total_project_budget,number,DECIMAL(15,2)
Budget / Funding,Local funds share (%),local_funds_share_pct,number,DECIMAL(5,2)
Budget / Funding,MTIF funds share (%),mtif_funds_share_pct,number,DECIMAL(5,2)
Budget / Funding,Other funds share (%),other_funds_share_pct,number,DECIMAL(5,2)
Budget / Funding,Max grant % (<= 90% of construction cost),max_grant_pct,number,DECIMAL(5,2)
Budget / Funding,Local minimum 10% match flag,local_min_match_flag,select (Yes/No),VARCHAR(3)
Budget / Funding,Multi-year project funding years (1-5),multi_year_funding_years,number,INTEGER
Budget / Funding,Detailed cost estimate file upload,cost_estimate_file,file,VARCHAR(500)
Budget / Funding,Construction contingency %,construction_contingency_pct,number,DECIMAL(5,2)
Budget / Funding,Useful life estimate (years),useful_life_years,number,INTEGER
Budget / Funding,Engineer's stamp / PE license file,pe_license_file,file,VARCHAR(500)
Budget / Funding,Certification of funds letter upload,certification_funds_file,file,VARCHAR(500)
Budget / Funding,Authorizing legislation upload,authorizing_legislation_file,file,VARCHAR(500)
Schedule & ROW,Construction award date,construction_award_date,date,DATE
Schedule & ROW,Anticipated construction start date,anticipated_start_date,date,DATE
Schedule & ROW,Anticipated construction completion date,anticipated_completion_date,date,DATE
Schedule & ROW,Construction start within 1 year flag,start_within_one_year_flag,select (Yes/No),VARCHAR(3)
Schedule & ROW,Right-of-way status,row_status,select,VARCHAR(20)
Schedule & ROW,Design/engineering status,design_engineering_status,select,VARCHAR(30)
Scoring / Criteria,Physical condition narrative,physical_condition_narrative,textarea,TEXT
Scoring / Criteria,Safety issues narrative,safety_issues_narrative,textarea,TEXT
Scoring / Criteria,Project priority ranking,project_priority_ranking,select,VARCHAR(20)
Scoring / Criteria,Economic growth & connectivity narrative,economic_growth_narrative,textarea,TEXT
Scoring / Criteria,Match % (calculated from budget),match_pct,number,DECIMAL(5,2)
Scoring / Criteria,Regional impact narrative,regional_impact_narrative,textarea,TEXT
Scoring / Criteria,Average Daily Traffic (ADT),average_daily_traffic,number,INTEGER
Scoring / Criteria,Relative Economic Strength score,relative_economic_strength,number,DECIMAL(8,2)
Scoring / Criteria,Transit impact narrative,transit_impact_narrative,textarea,TEXT
Scoring / Criteria,Multimodal infrastructure details,multimodal_infrastructure_details,textarea,TEXT
Scoring / Criteria,Sustainability measures checklist,sustainability_measures,textarea,TEXT
Scoring / Criteria,Past performance score,past_performance_score,number,DECIMAL(5,2)
Progress Reporting,Quarterly report date,quarterly_report_date,date,DATE
Progress Reporting,Quarterly report prepared by,quarterly_prepared_by,text,VARCHAR(150)
Progress Reporting,Quarterly jurisdiction,quarterly_jurisdiction,text,VARCHAR(150)
Progress Reporting,Quarterly address,quarterly_address,text,VARCHAR(255)
Progress Reporting,Project name (reporting),reporting_project_name,text,VARCHAR(255)
Progress Reporting,Project ID (reporting),reporting_project_id,text,VARCHAR(50)
Progress Reporting,Owner (reporting),reporting_owner,text,VARCHAR(150)
Progress Reporting,Contractor (reporting),reporting_contractor,text,VARCHAR(150)
Progress Reporting,Owner's Project Manager (reporting),reporting_project_manager,text,VARCHAR(150)
Progress Reporting,Last report % completion,last_report_completion_pct,number,DECIMAL(5,2)
Progress Reporting,Current report % completion,current_report_completion_pct,number,DECIMAL(5,2)
Progress Reporting,Overall project % completion,overall_completion_pct,number,DECIMAL(5,2)
Progress Reporting,Payment status,payment_status,text,VARCHAR(50)
Progress Reporting,Payment status explanation,payment_status_explanation,textarea,TEXT
Progress Reporting,Amount expended - MTIF grant only,amount_expended_mtif,number,DECIMAL(15,2)
Progress Reporting,Total grant award,total_grant_award,number,DECIMAL(15,2)
Progress Reporting,Potential risks narrative,potential_risks_narrative,textarea,TEXT
